,date,arrival_time_in_seconds,year,month,day
0,2021-10-01,37757,2021,10,1
1,2021-10-02,37613,2021,10,2
2,2021-10-03,36943,2021,10,3
3,2021-10-06,38285,2021,10,6
4,2021-10-08,38831,2021,10,8
5,2021-10-09,38333,2021,10,9
6,2021-10-10,36535,2021,10,10
7,2021-10-11,38695,2021,10,11
8,2021-10-12,38553,2021,10,12
9,2021-10-13,38902,2021,10,13
10,2021-10-15,39457,2021,10,15
11,2021-10-17,38560,2021,10,17
12,2021-10-18,36814,2021,10,18
13,2021-10-19,38240,2021,10,19
14,2021-10-20,38887,2021,10,20
15,2021-10-21,38585,2021,10,21
16,2021-10-23,39218,2021,10,23
17,2021-10-24,38306,2021,10,24
18,2021-10-25,38571,2021,10,25
19,2021-10-26,37713,2021,10,26
20,2021-10-27,36633,2021,10,27
21,2021-10-28,38500,2021,10,28
22,2021-10-29,38903,2021,10,29
23,2021-10-30,39492,2021,10,30
24,2021-10-31,39434,2021,10,31
25,2021-11-01,38226,2021,11,1
26,2021-11-02,37561,2021,11,2
27,2021-11-03,37748,2021,11,3
28,2021-11-04,38574,2021,11,4
29,2021-11-05,37180,2021,11,5
30,2021-11-06,38927,2021,11,6
31,2021-11-08,37863,2021,11,8
32,2021-11-09,38033,2021,11,9
33,2021-11-10,38100,2021,11,10
34,2021-11-11,38586,2021,11,11
35,2021-11-12,37918,2021,11,12
36,2021-11-13,37457,2021,11,13
37,2021-11-14,38053,2021,11,14
38,2021-11-15,37953,2021,11,15
39,2021-11-16,37149,2021,11,16
40,2021-11-17,38143,2021,11,17
41,2021-11-18,37701,2021,11,18
42,2021-11-19,38025,2021,11,19
43,2021-11-20,38305,2021,11,20
44,2021-11-21,37940,2021,11,21
45,2021-11-22,37626,2021,11,22
46,2021-11-23,37837,2021,11,23
47,2021-11-24,38165,2021,11,24
48,2021-11-25,38039,2021,11,25
49,2021-11-26,37809,2021,11,26
50,2021-11-27,37902,2021,11,27
51,2021-11-28,37497,2021,11,28
52,2021-11-29,37185,2021,11,29
53,2021-11-30,38425,2021,11,30
54,2021-12-01,37537,2021,12,1
55,2021-12-02,37542,2021,12,2
56,2021-12-03,36801,2021,12,3
57,2021-12-04,37623,2021,12,4
58,2021-12-05,37437,2021,12,5
59,2021-12-06,37274,2021,12,6
60,2021-12-07,37994,2021,12,7
61,2021-12-08,38129,2021,12,8
62,2021-12-09,37800,2021,12,9
63,2021-12-10,38307,2021,12,10
64,2021-12-11,38319,2021,12,11
65,2021-12-12,38967,2021,12,12
66,2021-12-13,38051,2021,12,13
67,2021-12-14,37829,2021,12,14
68,2021-12-15,38462,2021,12,15
69,2021-12-16,38026,2021,12,16
70,2021-12-17,37860,2021,12,17
71,2021-12-18,37641,2021,12,18
72,2021-12-19,37118,2021,12,19
73,2021-12-20,37819,2021,12,20
74,2021-12-21,37624,2021,12,21
75,2021-12-22,38696,2021,12,22
76,2021-12-23,37905,2021,12,23
77,2021-12-24,38126,2021,12,24
78,2021-12-25,38070,2021,12,25
79,2021-12-26,37363,2021,12,26
80,2021-12-27,37432,2021,12,27
