dwell_time_in_seconds,preds
83.0,112647496477906.55
21.0,131000269478272.38
22.0,154436220561008.03
219.0,116877163923700.95
32.0,146994046549471.38
21.0,122081232032982.81
43.0,101622202635438.83
41.0,122588701352254.12
20.0,140659468987884.28
39.0,128299578703457.22
32.0,115221450380432.27
59.0,85145098322367.08
134.0,10342642529137.652
30.0,37052726233276.25
19.0,22412190238917.734
39.0,7713445089200.351
68.0,30918205345655.016
29.0,51852232578613.89
6.0,27995958326683.695
94.0,34595978182277.105
32.0,18634816714957.055
106.0,37643269607834.72
21.0,55789269845938.69
17.0,77136313820519.84
307.0,29802274231635.355
27.0,69725980697812.8
20.0,28160782493957.1
9.0,43835262825551.47
84.0,28062915134357.438
29.0,47513142911805.59
14.0,40748539984181.65
3.0,49856666516457.28
11.0,45379824946632.016
78.0,16186801840633.955
36.0,31192613376516.23
12.0,59808197968526.39
297.0,7617939467781.548
27.0,42217134193785.75
21.0,9677632883048.766
32.0,20782188243455.598
78.0,5799171205979.638
35.0,27927887253133.633
6.0,28501942922258.105
15.0,33489513298394.008
20.0,23709114907679.582
20.0,13991582147044.34
15.0,1974101918096.518
20.0,22455088097231.65
6.0,47985458798095.9
375.0,-9706314915522.965
27.0,25223916233312.594
68.0,-649901995494.682
27.0,16204259187592.297
56.0,-4371842977793.977
29.0,15420591737345.56
11.0,13696873931119.229
9.0,18356086383306.027
14.0,10122081370002.139
41.0,6591108114027.464
60.0,9595671908638.672
25.0,32267902068077.457
17.0,67287386782744.56
61.0,-1319760227551.73
68.0,32450268052673.977
34.0,27745289876060.285
8.0,3067329128235.7793
44.0,-2807999480242.855
41.0,11869869433137.334
9.0,14097264634888.328
28.0,17179903291351.732
36.0,10999489311467.842
27.0,7695595953097.965
15.0,109439606424940.39
15.0,129173943335303.0
8.0,155691440226249.7
102.0,104556155781042.25
90.0,128295922012236.19
60.0,110747646334814.89
111.0,102733721209771.06
30.0,126767884903304.05
15.0,125140565045893.72
61.0,138838690403843.38
65.0,159483703578048.06
27.0,193947123942658.4
6.0,158297027542762.56
22.0,115411136167251.77
67.0,160903551324049.97
25.0,138992096808561.0
17.0,133295824959942.3
21.0,127215396468411.7
34.0,144199908555455.6
33.0,168736420609325.16
22.0,156095626490642.44
24.0,146984479567239.5
30.0,136434747803260.1
72.0,6794234266502.277
21.0,22993153649159.02
26.0,48285064838493.484
172.0,22548686616526.215
27.0,18915591618853.793
24.0,-447139049658.3725
26.0,9899068743439.713
198.0,-8189012921443.659
72.0,20016794877518.434
35.0,25934821513342.484
28.0,23775946171623.7
11.0,15511223559298.879
36.0,7454482103638.171
82.0,23742865442429.785
25.0,35232163054717.46
21.0,68336586524246.766
43.0,15172868855649.66
28.0,26014069734578.402
24.0,10630168002622.082
281.0,5666597150369.003
78.0,43252356134753.94
25.0,35693144237852.18
36.0,42087653872852.86
14.0,30493502075570.117
19.0,17737492884916.15
30.0,9871155867284.352
30.0,25607624052315.473
11.0,56259605049265.42
255.0,-578862514240.5013
30.0,27460620761257.402
15.0,2850417823961.9146
15.0,15873076130602.941
60.0,-14132478063234.945
30.0,19801064219894.5
30.0,27168092865146.633
45.0,12742318729676.36
45.0,14576855006379.99
91.0,17819167226322.53
21.0,37649930366230.67
20.0,76536725939112.81
231.0,14493719543732.71
24.0,43332923816289.92
56.0,13027748424971.7
12.0,23393424318567.312
18.0,8853678662917.148
22.0,25638875243823.52
16.0,18387799243780.74
11.0,18964111813566.414
75.0,20566307474309.496
89.0,44230448914229.17
161.0,47119198264892.8
24.0,39234615695567.734
33.0,16410815732682.195
